# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Apr 15 17:57:04 2026
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
#
loc_rowid,pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim
22,2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,406.00000000000,4.00000000000,-4.00000000000,0,0.9200000000,0.0200000000,-0.0200000000,0,13.40000000,,,0,603.87700000,31.78300000,-31.78300000,0,Mass,0.330000,0.050000,-0.050000,0,29564.00,,,0,0.203000,0.001000,-0.001000,0,0.480000,,,0,-0.0920,,,0
23,2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,,,,,7493.0000000000,11.0000000000,-11.0000000000,0,12.40000000,,,0,3813.94088400,317.82840700,-317.82840700,0,Mass,,,,,3592.00,157.00,-157.00,0,0.672832,0.020973,-0.020973,0,0.643977,0.020802,-0.020802,0,,,,
24,2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,,,,,230.0000000000,20.0000000000,-20.0000000000,0,12.30000000,,,0,3972.87500000,476.74500000,-476.74500000,0,Mass,,,,,4045.00,35.00,-35.00,0,0.641152,0.060021,-0.062602,0,0.600000,0.050000,-0.050000,0,,,,
25,2MASS J22501512+2325342 b,2MASS J22501512+2325342,1,1,,,,,518.0000000000,40.0000000000,-40.0000000000,0,11.90000000,,,0,9534.85221000,3496.11247700,-1271.31362800,0,Mass,,,,,3352.00,157.00,-157.00,0,0.437589,0.012922,-0.012922,0,0.433173,0.020207,-0.020207,0,,,,
26,4 UMa b,4 UMa,1,1,270.27000000000,0.24000000000,-0.09000000000,0,0.8770000000,0.0010000000,0.0000000000,0,12.60000000,,,0,2511.48007211,63.24785299,-120.13913785,0,Msini,0.453000,0.021000,-0.036000,0,4415.00,70.00,-70.00,0,18.110000,1.470000,-1.470000,0,1.234000,0.150000,-0.150000,0,-0.2500,0.0400,-0.0400,0
27,47 UMa b,47 UMa,1,3,1078.00000000000,2.00000000000,-2.00000000000,0,2.1000000000,0.0200000000,-0.0200000000,0,13.20000000,,,0,804.08000000,22.25000000,-19.07000000,0,Msini,0.032000,0.014000,-0.014000,0,5872.00,92.94,-113.53,0,1.213340,0.038883,-0.058353,0,1.060000,0.128402,-0.137608,0,0.0400,0.1000,-0.1000,0
28,47 UMa c,47 UMa,1,3,2391.00000000000,100.00000000000,-87.00000000000,0,3.6000000000,0.1000000000,-0.1000000000,0,14.20000000,,,0,171.62100000,20.97600000,-23.20100000,0,Msini,0.098000,0.047000,-0.096000,0,5872.00,92.94,-113.53,0,1.213340,0.038883,-0.058353,0,1.060000,0.128402,-0.137608,0,0.0400,0.1000,-0.1000,0
29,47 UMa d,47 UMa,1,3,14002.00000000000,4018.00000000000,-5095.00000000000,0,11.6000000000,2.1000000000,-2.9000000000,0,13.50000000,,,0,521.22000000,92.17000000,-152.55000000,0,Msini,0.160000,0.090000,-0.160000,0,5872.00,92.94,-113.53,0,1.213340,0.038883,-0.058353,0,1.060000,0.128402,-0.137608,0,0.0400,0.1000,-0.1000,0
30,51 Eri b,51 Eri,3,1,9100.00000000000,1100.00000000000,-1500.00000000000,0,10.4000000000,0.8000000000,-1.1000000000,0,,,,,3464.32963630,,,1,Mass,0.570000,0.080000,-0.060000,0,7422.00,58.00,-58.00,0,1.450000,0.020000,-0.020000,0,1.750000,0.050000,-0.050000,0,0.1300,0.0300,-0.0200,0
31,51 Peg b,51 Peg,1,1,4.23078500000,0.00003600000,-0.00003600000,0,0.0527000000,0.0030000000,-0.0030000000,0,14.30000000,,,0,146.20180000,19.06980000,-3.17830000,0,Mass,0.013000,0.012000,-0.012000,0,5758.00,101.62,-119.62,0,1.175610,0.067361,-0.035328,0,1.030000,0.166699,-0.085418,0,0.1800,0.1000,-0.1000,0
32,55 Cnc B b,55 Cnc B,2,7,6.79940000000,0.00130000000,-0.00140000000,0,0.0440000000,0.0012000000,-0.0012000000,0,1.69000000,,,0,3.50000000,0.80000000,-0.80000000,0,Msini,0.000000,,,0,3286.00,31.00,-31.00,0,0.274000,0.066000,-0.066000,0,0.260000,0.020000,-0.020000,0,0.1600,0.1000,-0.1000,0
33,55 Cnc B c,55 Cnc B,2,7,33.74700000000,0.03500000000,-0.03500000000,0,0.1300000000,0.0030000000,-0.0030000000,0,2.16000000,,,0,5.30000000,1.40000000,-1.40000000,0,Msini,0.000000,,,0,3286.00,31.00,-31.00,0,0.274000,0.066000,-0.066000,0,0.260000,0.020000,-0.020000,0,0.1600,0.1000,-0.1000,0
34,55 Cnc b,55 Cnc,2,7,14.65155200000,0.00003600000,-0.00003600000,0,0.1180000000,0.0020000000,-0.0020000000,0,13.90000000,,,0,263.97850000,1.04880000,-1.04880000,0,Mass,0.002900,0.002700,-0.002000,0,5198.00,31.00,-31.00,0,0.980000,0.016000,-0.016000,0,1.015000,0.051000,-0.051000,0,0.3900,0.1000,-0.1000,0
35,55 Cnc c,55 Cnc,2,7,44.39360000000,0.00240000000,-0.00240000000,0,0.2470000000,0.0040000000,-0.0040000000,0,8.51000000,,,0,54.47380000,1.74800000,-1.74800000,0,Mass,0.088000,0.230000,-0.230000,0,5198.00,31.00,-31.00,0,0.980000,0.016000,-0.016000,0,1.015000,0.051000,-0.051000,0,0.3900,0.1000,-0.1000,0
36,55 Cnc d,55 Cnc,2,7,4799.00000000000,4.90000000000,-15.00000000000,0,5.6000000000,0.1000000000,-0.1000000000,0,13.00000000,,,0,1232.49300000,21.61200000,-21.61200000,0,Mass,0.091300,0.006700,-0.006700,0,5198.00,31.00,-31.00,0,0.980000,0.016000,-0.016000,0,1.015000,0.051000,-0.051000,0,0.3900,0.1000,-0.1000,0
37,55 Cnc e,55 Cnc,2,7,0.73654740000,0.00000130000,-0.00000140000,0,0.0154400000,0.0000500000,-0.0000500000,0,1.87500000,0.02900000,-0.02900000,0,7.99000000,0.32000000,-0.33000000,0,Mass,0.050000,0.030000,-0.030000,0,5172.00,18.00,-18.00,0,0.943000,0.010000,-0.010000,0,0.905000,0.015000,-0.015000,0,0.3500,0.1000,-0.1000,0
38,55 Cnc f,55 Cnc,2,7,260.58000000000,0.15000000000,-0.15000000000,0,0.8020000000,0.0140000000,-0.0140000000,0,7.59000000,,,0,44.81200000,3.81400000,-3.81400000,0,Mass,0.063000,0.048000,-0.043000,0,5198.00,31.00,-31.00,0,0.980000,0.016000,-0.016000,0,1.015000,0.051000,-0.051000,0,0.3900,0.1000,-0.1000,0
39,6 Lyn b,6 Lyn,1,1,919.86000000000,1.92000000000,-3.71000000000,0,2.0280000000,0.0030000000,-0.0050000000,0,13.40000000,,,0,597.83523357,12.07747947,-28.28672822,0,Msini,0.042000,0.024000,-0.032000,0,4941.00,,,0,4.940000,0.550000,-0.500000,0,1.320000,0.200000,-0.210000,0,-0.1700,0.1100,-0.0700,0
40,61 Vir b,61 Vir,1,3,4.21500000000,0.00060000000,-0.00060000000,0,0.0502010000,0.0000050000,-0.0000050000,0,2.11000000,,,0,5.10000000,0.50000000,-0.50000000,0,Msini,0.120000,0.110000,-0.110000,0,5577.00,33.00,-33.00,0,0.963000,0.011000,-0.011000,0,0.942000,0.034000,-0.029000,0,-0.0100,,,0
41,61 Vir c,61 Vir,1,3,38.02100000000,0.03400000000,-0.03400000000,0,0.2175000000,0.0001000000,-0.0001000000,0,4.46000000,,,0,18.20000000,1.10000000,-1.10000000,0,Msini,0.140000,0.060000,-0.060000,0,5577.00,33.00,-33.00,0,0.963000,0.011000,-0.011000,0,0.942000,0.034000,-0.029000,0,-0.0100,,,0
42,61 Vir d,61 Vir,1,3,123.01000000000,0.55000000000,-0.55000000000,0,0.4760000000,0.0010000000,-0.0010000000,0,5.11000000,,,0,22.90000000,2.60000000,-2.60000000,0,Msini,0.350000,0.090000,-0.090000,0,5577.00,33.00,-33.00,0,0.963000,0.011000,-0.011000,0,0.942000,0.034000,-0.029000,0,-0.0100,,,0
43,7 CMa b,7 CMa,1,2,735.10000000000,14.80000000000,-1.00000000000,0,1.7580000000,0.0240000000,-0.0010000000,0,13.40000000,,,0,587.98550000,19.06980000,-19.06980000,0,Msin(i)/sin(i),0.060000,0.030000,-0.030000,0,4826.00,45.00,-55.00,0,4.870000,0.170000,-0.140000,0,1.340000,0.110000,-0.120000,0,0.2100,0.1000,-0.1000,0
44,7 CMa c,7 CMa,1,2,996.00000000000,1.50000000000,-52.40000000000,0,2.1530000000,0.0030000000,-0.0800000000,0,13.90000000,,,0,276.51210000,19.06980000,-19.06980000,0,Msin(i)/sin(i),0.080000,0.050000,-0.040000,0,4826.00,45.00,-55.00,0,4.870000,0.170000,-0.140000,0,1.340000,0.110000,-0.120000,0,0.2100,0.1000,-0.1000,0
45,70 Vir b,70 Vir,1,1,116.68800000000,0.00540000000,-0.00540000000,0,0.4810000000,0.0220000000,-0.0220000000,0,12.60000000,,,0,2380.45000000,193.87000000,-193.87000000,0,Mass,0.398800,0.001900,-0.001900,0,5495.00,,,0,1.890000,,,0,1.090000,,,0,-0.0900,0.0300,-0.0300,0
46,75 Cet b,75 Cet,2,2,696.62000000000,1.33000000000,-1.69000000000,0,1.9120000000,0.0020000000,-0.0030000000,0,13.30000000,,,0,787.89662095,23.51930212,-28.60455663,0,Msini,0.093000,0.026000,-0.042000,0,4809.00,,,0,10.380000,0.150000,-0.260000,0,1.920000,0.070000,-0.080000,0,0.1000,0.0800,-0.0500,0
47,75 Cet c,75 Cet,2,2,2051.62000000000,45.98000000000,-40.47000000000,0,3.9290000000,0.0580000000,-0.0520000000,0,13.90000000,,,0,289.85950718,27.96889982,-45.44946220,0,Msini,0.023000,0.191000,-0.003000,0,4809.00,,,0,10.380000,0.150000,-0.260000,0,1.920000,0.070000,-0.080000,0,0.1000,0.0800,-0.0500,0
48,8 UMi b,8 UMi,1,1,93.31000000000,0.06000000000,-0.06000000000,0,0.4620000000,0.0060000000,-0.0060000000,0,13.50000000,,,0,524.41687155,19.06970442,-19.06970442,0,Msini,0.062000,0.028000,-0.030000,0,4847.00,100.00,-100.00,0,10.730000,0.140000,-0.140000,0,1.510000,0.060000,-0.060000,0,-0.0300,0.1000,-0.1000,0
49,81 Cet b,81 Cet,1,1,1005.57000000000,1.84000000000,-1.94000000000,0,2.1040000000,0.0030000000,-0.0030000000,0,13.10000000,,,0,1051.05854195,24.79061575,-21.29450327,0,Msini,0.037000,0.015000,-0.025000,0,4734.00,,,0,11.210000,0.810000,-0.350000,0,1.230000,0.300000,-0.250000,0,-0.1100,0.1000,-0.0600,0
50,91 Aqr b,91 Aqr,3,1,181.40000000000,0.10000000000,-0.10000000000,0,0.7000000000,,,0,13.10000000,,,0,1017.00000000,,,0,Msini,0.027000,0.026000,-0.026000,0,4665.00,18.00,-18.00,0,11.000000,0.100000,-0.100000,0,1.400000,0.100000,-0.100000,0,-0.0300,0.1000,-0.1000,0
51,AB Aur b,AB Aur,1,1,,,,,93.9000000000,49.3000000000,-49.3000000000,0,12.50000000,,,0,2860.45566300,,,0,Mass,0.400000,0.200000,-0.210000,0,9770.00,100.00,-100.00,0,2.958870,0.096638,-0.070698,0,2.400000,0.200000,-0.200000,0,,,,
52,AB Pic b,AB Pic,1,1,,,,,260.0000000000,,,0,12.30000000,,,0,4290.50000000,158.90000000,-158.90000000,0,Mass,,,,,5285.00,10.00,-9.00,0,0.999394,0.029598,-0.022233,0,0.900000,0.100000,-0.100000,0,0.0400,0.0200,-0.0200,0
53,AF Lep b,AF Lep,1,1,8905.00000000000,400.00000000000,-150.00000000000,0,8.9960000000,0.1900000000,-0.0770000000,0,13.00000000,,,0,1147.36054927,155.73591943,-152.55763536,0,Mass,0.015000,0.029000,-0.011000,0,6140.00,47.00,-47.00,0,1.250000,0.060000,-0.060000,0,1.218000,0.029000,-0.039000,0,0.1900,0.0200,-0.0200,0
54,AT2021ueyL b,AT2021ueyL,1,1,4168.69000000000,2910.76000000000,-1713.98000000000,0,4.0100000000,1.6800000000,-1.3400000000,0,13.60000000,,,0,425.89006538,143.02278315,-158.91420350,0,Mass,,,,,3680.00,307.00,-204.00,0,,,,,0.490000,0.160000,-0.180000,0,,,,
55,AU Mic b,AU Mic,1,4,8.46344600000,0.00000500000,-0.00000500000,0,0.0700000000,0.0060000000,-0.0070000000,0,4.79000000,0.29000000,-0.29000000,0,8.99000000,2.61000000,-2.67000000,0,Mass,0.070000,0.090000,-0.040000,0,3540.00,120.00,-110.00,0,0.862000,0.052000,-0.052000,0,0.635000,0.040000,-0.070000,0,0.0100,0.0600,-0.0600,0
56,AU Mic c,AU Mic,1,4,18.85902300000,0.00002200000,-0.00002400000,0,0.1190000000,0.0110000000,-0.0110000000,0,2.79000000,0.18000000,-0.17000000,0,14.46000000,3.24000000,-3.42000000,0,Mass,0.180000,0.080000,-0.070000,0,3540.00,120.00,-110.00,0,0.862000,0.052000,-0.052000,0,0.635000,0.040000,-0.070000,0,0.0100,0.0600,-0.0600,0
57,AU Mic d,AU Mic,1,4,12.73596000000,0.00793000000,-0.00793000000,0,,,,,1.02000000,,,0,1.05300000,0.51100000,-0.51100000,0,Mass,0.003050,0.001040,-0.001040,0,3678.00,90.00,-88.00,0,0.744000,0.023000,-0.021000,0,0.510000,0.028000,-0.027000,0,0.2300,0.2400,-0.3000,0
58,AU Mic e,AU Mic,1,4,33.11000000000,0.06000000000,-0.06000000000,0,,,,,4.87000000,,,0,21.10000000,5.40000000,-4.30000000,0,Mass,,,,,3665.00,31.00,-31.00,0,0.820000,0.020000,-0.020000,0,0.600000,0.040000,-0.040000,0,0.1200,0.1000,-0.1000,0
59,BD+03 2562 b,BD+03 2562,1,1,481.90000000000,2.70000000000,-2.80000000000,0,1.3000000000,0.1000000000,-0.1000000000,0,12.70000000,,,0,2034.11200000,413.17900000,-413.17900000,0,Msini,0.200000,0.120000,-0.080000,0,4095.00,20.00,-20.00,0,32.350000,8.820000,-8.820000,0,1.140000,0.250000,-0.250000,0,-0.7100,0.0900,-0.0900,0
